Startpoint	Solution
100.0	64.1509433962
100.0	54.8387096774
100.0	60.7142857143
94.4444444444	55.737704918
100.0	61.8181818182
100.0	58.6206896552
100.0	60.7142857143
94.4444444444	66.6666666667
94.4444444444	65.3846153846
97.1428571429	58.6206896552
97.1428571429	55.737704918
91.8918918919	55.737704918
100.0	56.6666666667
100.0	56.6666666667
94.4444444444	57.6271186441
97.1428571429	57.6271186441
91.8918918919	61.8181818182
94.4444444444	61.8181818182
91.8918918919	62.962962963
94.4444444444	59.649122807
100.0	57.6271186441
97.1428571429	59.649122807
94.4444444444	57.6271186441
97.1428571429	56.6666666667
91.8918918919	61.8181818182
100.0	56.6666666667
94.4444444444	69.387755102
91.8918918919	56.6666666667
94.4444444444	60.7142857143
97.1428571429	62.962962963
94.4444444444	61.8181818182
97.1428571429	60.7142857143
100.0	65.3846153846
100.0	65.3846153846
94.4444444444	55.737704918
100.0	57.6271186441
97.1428571429	60.7142857143
100.0	57.6271186441
97.1428571429	59.649122807
100.0	57.6271186441
100.0	65.3846153846
94.4444444444	58.6206896552
100.0	62.962962963
100.0	55.737704918
91.8918918919	58.6206896552
100.0	69.387755102
91.8918918919	60.7142857143
100.0	53.9682539683
100.0	69.387755102
94.4444444444	65.3846153846
97.1428571429	59.649122807
89.4736842105	58.6206896552
91.8918918919	61.8181818182
97.1428571429	57.6271186441
97.1428571429	60.7142857143
94.4444444444	61.8181818182
100.0	60.7142857143
97.1428571429	59.649122807
91.8918918919	68.0
100.0	56.6666666667
94.4444444444	56.6666666667
100.0	65.3846153846
97.1428571429	61.8181818182
94.4444444444	57.6271186441
89.4736842105	66.6666666667
97.1428571429	61.8181818182
97.1428571429	61.8181818182
94.4444444444	58.6206896552
94.4444444444	62.962962963
91.8918918919	65.3846153846
97.1428571429	62.962962963
89.4736842105	59.649122807
97.1428571429	60.7142857143
94.4444444444	60.7142857143
100.0	60.7142857143
100.0	55.737704918
91.8918918919	72.3404255319
89.4736842105	60.7142857143
97.1428571429	59.649122807
97.1428571429	61.8181818182
94.4444444444	59.649122807
100.0	70.8333333333
100.0	61.8181818182
100.0	66.6666666667
97.1428571429	54.8387096774
97.1428571429	64.1509433962
100.0	69.387755102
100.0	60.7142857143
91.8918918919	73.9130434783
91.8918918919	58.6206896552
100.0	60.7142857143
100.0	54.8387096774
91.8918918919	82.9268292683
100.0	64.1509433962
91.8918918919	59.649122807
97.1428571429	55.737704918
94.4444444444	56.6666666667
97.1428571429	56.6666666667
100.0	59.649122807
97.1428571429	55.737704918
